0
teamA_toss_win
teamA_Chennai Super Kings
teamA_Deccan Chargers
teamA_Delhi Capitals
teamA_Delhi Daredevils
teamA_Gujarat Lions
teamA_Gujarat Titans
teamA_Kings XI Punjab
teamA_Kochi Tuskers Kerala
teamA_Kolkata Knight Riders
teamA_Lucknow Super Giants
teamA_Mumbai Indians
teamA_Pune Warriors
teamA_Punjab Kings
teamA_Rajasthan Royals
teamA_Rising Pune Supergiant
teamA_Rising Pune Supergiants
teamA_Royal Challengers Bangalore
teamA_Royal Challengers Bengaluru
teamA_Sunrisers Hyderabad
teamB_Chennai Super Kings
teamB_Deccan Chargers
teamB_Delhi Capitals
teamB_Delhi Daredevils
teamB_Gujarat Lions
teamB_Gujarat Titans
teamB_Kings XI Punjab
teamB_Kochi Tuskers Kerala
teamB_Kolkata Knight Riders
teamB_Lucknow Super Giants
teamB_Mumbai Indians
teamB_Pune Warriors
teamB_Punjab Kings
teamB_Rajasthan Royals
teamB_Rising Pune Supergiant
teamB_Rising Pune Supergiants
teamB_Royal Challengers Bangalore
teamB_Royal Challengers Bengaluru
teamB_Sunrisers Hyderabad
venue_Arun Jaitley Stadium
"venue_Arun Jaitley Stadium, Delhi"
venue_Barabati Stadium
"venue_Barsapara Cricket Stadium, Guwahati"
"venue_Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
venue_Brabourne Stadium
"venue_Brabourne Stadium, Mumbai"
venue_Buffalo Park
venue_De Beers Diamond Oval
venue_Dr DY Patil Sports Academy
"venue_Dr DY Patil Sports Academy, Mumbai"
venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
"venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
venue_Dubai International Cricket Stadium
venue_Eden Gardens
"venue_Eden Gardens, Kolkata"
venue_Feroz Shah Kotla
venue_Green Park
venue_Himachal Pradesh Cricket Association Stadium
"venue_Himachal Pradesh Cricket Association Stadium, Dharamsala"
venue_Holkar Cricket Stadium
venue_JSCA International Stadium Complex
venue_Kingsmead
venue_M Chinnaswamy Stadium
"venue_M Chinnaswamy Stadium, Bengaluru"
venue_M.Chinnaswamy Stadium
venue_MA Chidambaram Stadium
"venue_MA Chidambaram Stadium, Chepauk"
"venue_MA Chidambaram Stadium, Chepauk, Chennai"
"venue_Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
venue_Maharashtra Cricket Association Stadium
"venue_Maharashtra Cricket Association Stadium, Pune"
"venue_Narendra Modi Stadium, Ahmedabad"
venue_Nehru Stadium
venue_New Wanderers Stadium
venue_Newlands
venue_OUTsurance Oval
venue_Punjab Cricket Association IS Bindra Stadium
"venue_Punjab Cricket Association IS Bindra Stadium, Mohali"
"venue_Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
"venue_Punjab Cricket Association Stadium, Mohali"
venue_Rajiv Gandhi International Stadium
"venue_Rajiv Gandhi International Stadium, Uppal"
"venue_Rajiv Gandhi International Stadium, Uppal, Hyderabad"
"venue_Sardar Patel Stadium, Motera"
venue_Saurashtra Cricket Association Stadium
venue_Sawai Mansingh Stadium
"venue_Sawai Mansingh Stadium, Jaipur"
venue_Shaheed Veer Narayan Singh International Stadium
venue_Sharjah Cricket Stadium
venue_Sheikh Zayed Stadium
venue_St George's Park
venue_Subrata Roy Sahara Stadium
venue_SuperSport Park
"venue_Vidarbha Cricket Association Stadium, Jamtha"
venue_Wankhede Stadium
"venue_Wankhede Stadium, Mumbai"
"venue_Zayed Cricket Stadium, Abu Dhabi"
teamA_toss_decision_bat
teamA_toss_decision_field
